"","Run","Experiment","Sample.Name","SRA_study","BioProject","GEO_Accession..exp.","source_name","Strain","PAO1","PA14","PAK","ClinicalIsolate"
"1","SRR8239475","SRX5057740","CLJ1","SRP170343","PRJNA383797","","","CLJ1",FALSE,FALSE,FALSE,FALSE
"2","SRR8239476","SRX5057739","CLJ1","SRP170343","PRJNA383797","","","CLJ1",FALSE,FALSE,FALSE,FALSE
"3","SRR8239645","SRX5057910","CLJ3","SRP170410","PRJNA383798","","","CLJ3",FALSE,FALSE,FALSE,FALSE
"4","SRR8239646","SRX5057909","CLJ3","SRP170410","PRJNA383798","","","CLJ3",FALSE,FALSE,FALSE,FALSE
"5","SRR6483189","SRX3573046","PAO1 samples from Colistin/Doripenem treatment","SRP130183","PRJNA414673","","","PAO1",TRUE,FALSE,FALSE,FALSE
"6","SRR6483191","SRX3573044","PAO1 samples from Colistin/Doripenem treatment","SRP130183","PRJNA414673","","","PAO1",TRUE,FALSE,FALSE,FALSE
"7","SRR8377186","SRX5187184","GSM3534619","SRP174640","PRJNA512099","GSM3534619","PAO1 treated with FOS","PAO1",TRUE,FALSE,FALSE,FALSE
"8","SRR8377187","SRX5187185","GSM3534620","SRP174640","PRJNA512099","GSM3534620","PAO1 treated with FOS","PAO1",TRUE,FALSE,FALSE,FALSE
"9","SRR8377188","SRX5187186","GSM3534621","SRP174640","PRJNA512099","GSM3534621","PAO1 treated with Inulin","PAO1",TRUE,FALSE,FALSE,FALSE
"10","SRR8377189","SRX5187187","GSM3534622","SRP174640","PRJNA512099","GSM3534622","PAO1 treated with Inulin","PAO1",TRUE,FALSE,FALSE,FALSE
"11","SRR8377190","SRX5187188","GSM3534623","SRP174640","PRJNA512099","GSM3534623","PAO1 untreated","PAO1",TRUE,FALSE,FALSE,FALSE
"12","SRR8377191","SRX5187189","GSM3534624","SRP174640","PRJNA512099","GSM3534624","PAO1 untreated","PAO1",TRUE,FALSE,FALSE,FALSE
"13","SRR8327202","SRX5138916","20mg/L 5 day-1","SRP173569","PRJNA506639","","","",FALSE,FALSE,FALSE,FALSE
"14","SRR8327203","SRX5138915","20mg/L 5 day-2","SRP173569","PRJNA506639","","","",FALSE,FALSE,FALSE,FALSE
"15","SRR8327204","SRX5138914","20mg/L 2 day-1","SRP173569","PRJNA506639","","","",FALSE,FALSE,FALSE,FALSE
"16","SRR8327205","SRX5138913","20mg/L 2 day-2","SRP173569","PRJNA506639","","","",FALSE,FALSE,FALSE,FALSE
"17","SRR7786905","SRX4641866","Artificial urine 2","SRP159622","PRJNA489391","","","UCBPP-PA14",FALSE,TRUE,FALSE,FALSE
"18","SRR7786906","SRX4641865","Artificial urine 1","SRP159622","PRJNA489391","","","UCBPP-PA14",FALSE,TRUE,FALSE,FALSE
"19","SRR7786907","SRX4641864","Mouse bladder","SRP159622","PRJNA489391","","","UCBPP-PA14",FALSE,TRUE,FALSE,FALSE
"20","SRR7786908","SRX4641863","PBS Tryptone Human Urine 2","SRP159622","PRJNA489391","","","UCBPP-PA14",FALSE,TRUE,FALSE,FALSE
"21","SRR7786909","SRX4641862","PBS Tryptone Human Urine 1","SRP159622","PRJNA489391","","","UCBPP-PA14",FALSE,TRUE,FALSE,FALSE
"22","SRR7786910","SRX4641861","PBS Tryptone 2","SRP159622","PRJNA489391","","","UCBPP-PA14",FALSE,TRUE,FALSE,FALSE
"23","SRR7786911","SRX4641860","PBS Tryptone 1","SRP159622","PRJNA489391","","","UCBPP-PA14",FALSE,TRUE,FALSE,FALSE
"24","SRR7786912","SRX4641859","LB Urea 2","SRP159622","PRJNA489391","","","UCBPP-PA14",FALSE,TRUE,FALSE,FALSE
"25","SRR7786913","SRX4641858","LB Urea 1","SRP159622","PRJNA489391","","","UCBPP-PA14",FALSE,TRUE,FALSE,FALSE
"26","SRR7786914","SRX4641857","LB 2","SRP159622","PRJNA489391","","","UCBPP-PA14",FALSE,TRUE,FALSE,FALSE
"27","SRR7786915","SRX4641856","LB 1","SRP159622","PRJNA489391","","","UCBPP-PA14",FALSE,TRUE,FALSE,FALSE
"28","SRR7786916","SRX4641855","PBS Tryptone Mouse Urine 2","SRP159622","PRJNA489391","","","UCBPP-PA14",FALSE,TRUE,FALSE,FALSE
"29","SRR7786917","SRX4641854","PBS Tryptone Mouse Urine 1","SRP159622","PRJNA489391","","","UCBPP-PA14",FALSE,TRUE,FALSE,FALSE
"30","SRR6448772","SRX3539745","PAO1B3","SRP128411","PRJNA428284","","","Pseudomonas aeruginosa PAO1",TRUE,FALSE,FALSE,FALSE
"31","SRR6448778","SRX3539739","PAO1B1","SRP128411","PRJNA428284","","","Pseudomonas aeruginosa PAO1",TRUE,FALSE,FALSE,FALSE
"32","SRR6448779","SRX3539738","PAO1B2","SRP128411","PRJNA428284","","","Pseudomonas aeruginosa PAO1",TRUE,FALSE,FALSE,FALSE
"33","SRR7723449","SRX4579961","GSM3347985","SRP158426","PRJNA486815","GSM3347985","Transcriptome of control of P. aeruginosa PAO1","",TRUE,FALSE,FALSE,FALSE
"34","SRR7723450","SRX4579962","GSM3347986","SRP158426","PRJNA486815","GSM3347986","Transcriptome of control of P. aeruginosa PAO1","",TRUE,FALSE,FALSE,FALSE
"35","SRR7723451","SRX4579963","GSM3347987","SRP158426","PRJNA486815","GSM3347987","Transcriptome of control of P. aeruginosa PAO1","",TRUE,FALSE,FALSE,FALSE
"36","SRR7723452","SRX4579964","GSM3347988","SRP158426","PRJNA486815","GSM3347988","Transcriptome of DDS-treated P. aeruginosa PAO1","",TRUE,FALSE,FALSE,FALSE
"37","SRR7723453","SRX4579965","GSM3347989","SRP158426","PRJNA486815","GSM3347989","Transcriptome of DDS-treated P. aeruginosa PAO1","",TRUE,FALSE,FALSE,FALSE
"38","SRR7723454","SRX4579966","GSM3347990","SRP158426","PRJNA486815","GSM3347990","Transcriptome of DDS-treated P. aeruginosa PAO1","",TRUE,FALSE,FALSE,FALSE
