"","X1","X2"
"ABJ15654","ABJ15654","PA14_63605"
"ABJ14957","ABJ14957","PA14_00010"
"ABJ14958","ABJ14958","PA14_00020"
"ABJ14959","ABJ14959","PA14_00030"
"ABJ14960","ABJ14960","PA14_00050"
"ABJ14961","ABJ14961","PA14_00060"
"ABJ14962","ABJ14962","PA14_00070"
"ABJ14963","ABJ14963","PA14_00080"
"ABJ14964","ABJ14964","PA14_00090"
"ABJ14965","ABJ14965","PA14_00100"
"ABJ14966","ABJ14966","PA14_00110"
"ABJ14967","ABJ14967","PA14_00120"
"ABJ14968","ABJ14968","PA14_00130"
"ABJ14969","ABJ14969","PA14_00140"
"ABJ14970","ABJ14970","PA14_00150"
"ABJ14971","ABJ14971","PA14_00160"
"ABJ14972","ABJ14972","PA14_00170"
"ABJ14973","ABJ14973","PA14_00180"
"ABJ14974","ABJ14974","PA14_00190"
"ABJ14975","ABJ14975","PA14_00200"
"ABJ14976","ABJ14976","PA14_00210"
"ABJ14977","ABJ14977","PA14_00230"
"ABJ14978","ABJ14978","PA14_00240"
"ABJ14979","ABJ14979","PA14_00250"
"ABJ14980","ABJ14980","PA14_00280"
"ABJ14981","ABJ14981","PA14_00290"
"ABJ14982","ABJ14982","PA14_00300"
"ABJ14983","ABJ14983","PA14_00310"
"ABJ14984","ABJ14984","PA14_00320"
"ABJ14985","ABJ14985","PA14_00340"
"ABJ14986","ABJ14986","PA14_00360"
"ABJ14987","ABJ14987","PA14_00380"
"ABJ14988","ABJ14988","PA14_00400"
"ABJ14989","ABJ14989","PA14_00410"
"ABJ14990","ABJ14990","PA14_00420"
"ABJ14991","ABJ14991","PA14_00430"
"ABJ14992","ABJ14992","PA14_00440"
"ABJ14993","ABJ14993","PA14_00450"
"ABJ14994","ABJ14994","PA14_00460"
"ABJ14995","ABJ14995","PA14_00470"
"ABJ14996","ABJ14996","PA14_00480"
"ABJ14997","ABJ14997","PA14_00490"
"ABJ14998","ABJ14998","PA14_00510"
"ABJ14999","ABJ14999","PA14_00520"
"ABJ15000","ABJ15000","PA14_00530"
"ABJ15001","ABJ15001","PA14_00550"
"ABJ15002","ABJ15002","PA14_00560"
"ABJ15003","ABJ15003","PA14_00570"
"ABJ15004","ABJ15004","PA14_00580"
"ABJ15005","ABJ15005","PA14_00590"
"ABJ15006","ABJ15006","PA14_00600"
"ABJ15007","ABJ15007","PA14_00620"
"ABJ15008","ABJ15008","PA14_00630"
"ABJ15009","ABJ15009","PA14_00640"
"ABJ15010","ABJ15010","PA14_00650"
"ABJ15011","ABJ15011","PA14_00660"
"ABJ15012","ABJ15012","PA14_00670"
"ABJ15013","ABJ15013","PA14_00680"
"ABJ15014","ABJ15014","PA14_00690"
"ABJ15015","ABJ15015","PA14_00700"
"ABJ15016","ABJ15016","PA14_00710"
"ABJ15017","ABJ15017","PA14_00720"
"ABJ15018","ABJ15018","PA14_00730"
"ABJ15019","ABJ15019","PA14_00740"
"ABJ15020","ABJ15020","PA14_00750"
"ABJ15021","ABJ15021","PA14_00760"
"ABJ15022","ABJ15022","PA14_00770"
"ABJ15023","ABJ15023","PA14_00780"
"ABJ15024","ABJ15024","PA14_00790"
"ABJ15025","ABJ15025","PA14_00800"
"ABJ15026","ABJ15026","PA14_00810"
"ABJ15027","ABJ15027","PA14_00820"
"ABJ15028","ABJ15028","PA14_00830"
"ABJ15029","ABJ15029","PA14_00850"
"ABJ15030","ABJ15030","PA14_00860"
"ABJ15671","ABJ15671","PA14_00875"
"ABJ15031","ABJ15031","PA14_00890"
"ABJ15032","ABJ15032","PA14_00900"
"ABJ15033","ABJ15033","PA14_00910"
"ABJ15641","ABJ15641","PA14_00925"
"ABJ15034","ABJ15034","PA14_00940"
"ABJ15035","ABJ15035","PA14_00960"
"ABJ15036","ABJ15036","PA14_00970"
"ABJ15037","ABJ15037","PA14_00980"
"ABJ15038","ABJ15038","PA14_00990"
"ABJ15039","ABJ15039","PA14_01010"
"ABJ15040","ABJ15040","PA14_01020"
"ABJ15041","ABJ15041","PA14_01030"
"ABJ15042","ABJ15042","PA14_01040"
"ABJ15043","ABJ15043","PA14_01060"
"ABJ15044","ABJ15044","PA14_01070"
"ABJ15045","ABJ15045","PA14_01080"
"ABJ15046","ABJ15046","PA14_01100"
"ABJ15047","ABJ15047","PA14_01110"
"ABJ15048","ABJ15048","PA14_01120"
"ABJ15049","ABJ15049","PA14_01130"
"ABJ15050","ABJ15050","PA14_01140"
"ABJ15051","ABJ15051","PA14_01150"
"ABJ15052","ABJ15052","PA14_01160"
"ABJ15053","ABJ15053","PA14_01170"
"ABJ15054","ABJ15054","PA14_01180"
"ABJ15055","ABJ15055","PA14_01190"
"ABJ15056","ABJ15056","PA14_01200"
"ABJ15057","ABJ15057","PA14_01220"
"ABJ15058","ABJ15058","PA14_01230"
"ABJ15059","ABJ15059","PA14_01240"
"ABJ15060","ABJ15060","PA14_01250"
"ABJ15061","ABJ15061","PA14_01270"
"ABJ15062","ABJ15062","PA14_01290"
"ABJ15063","ABJ15063","PA14_01300"
"ABJ15064","ABJ15064","PA14_01310"
"ABJ15065","ABJ15065","PA14_01320"
"ABJ15066","ABJ15066","PA14_01330"
"ABJ15067","ABJ15067","PA14_01340"
"ABJ15068","ABJ15068","PA14_01350"
"ABJ15069","ABJ15069","PA14_01360"
"ABJ15070","ABJ15070","PA14_01380"
"ABJ15071","ABJ15071","PA14_01390"
"ABJ15072","ABJ15072","PA14_01400"
"ABJ15073","ABJ15073","PA14_01410"
"ABJ15074","ABJ15074","PA14_01430"
"ABJ15075","ABJ15075","PA14_01440"
"ABJ15076","ABJ15076","PA14_01460"
"ABJ15077","ABJ15077","PA14_01470"
"ABJ15078","ABJ15078","PA14_01480"
"ABJ15079","ABJ15079","PA14_01490"
"ABJ15080","ABJ15080","PA14_01500"
"ABJ15081","ABJ15081","PA14_01510"
"ABJ15082","ABJ15082","PA14_01520"
"ABJ15083","ABJ15083","PA14_01540"
"ABJ15084","ABJ15084","PA14_01550"
"ABJ15085","ABJ15085","PA14_01560"
"ABJ15086","ABJ15086","PA14_01580"
"ABJ15087","ABJ15087","PA14_01600"
"ABJ15088","ABJ15088","PA14_01610"
"ABJ15089","ABJ15089","PA14_01620"
"ABJ15090","ABJ15090","PA14_01640"
"ABJ15091","ABJ15091","PA14_01660"
"ABJ15092","ABJ15092","PA14_01670"
"ABJ15093","ABJ15093","PA14_01680"
"ABJ15094","ABJ15094","PA14_01690"
"ABJ15095","ABJ15095","PA14_01710"
"ABJ15096","ABJ15096","PA14_01720"
"ABJ15097","ABJ15097","PA14_01730"
"ABJ15098","ABJ15098","PA14_01750"
"ABJ15099","ABJ15099","PA14_01760"
"ABJ15100","ABJ15100","PA14_01770"
"ABJ15101","ABJ15101","PA14_01780"
"ABJ15102","ABJ15102","PA14_01790"
"ABJ15103","ABJ15103","PA14_01800"
"ABJ15104","ABJ15104","PA14_01810"
"ABJ15105","ABJ15105","PA14_01830"
"ABJ15106","ABJ15106","PA14_01840"
"ABJ15107","ABJ15107","PA14_01860"
"ABJ15108","ABJ15108","PA14_01870"
"ABJ15109","ABJ15109","PA14_01890"
"ABJ15110","ABJ15110","PA14_01900"
"ABJ15111","ABJ15111","PA14_01910"
"ABJ15112","ABJ15112","PA14_01930"
"ABJ15113","ABJ15113","PA14_01940"
"ABJ15114","ABJ15114","PA14_01960"
"ABJ15115","ABJ15115","PA14_01970"
"ABJ15116","ABJ15116","PA14_01980"
"ABJ15117","ABJ15117","PA14_01990"
"ABJ15118","ABJ15118","PA14_02010"
"ABJ15119","ABJ15119","PA14_02020"
"ABJ15120","ABJ15120","PA14_02030"
"ABJ15121","ABJ15121","PA14_02050"
"ABJ15122","ABJ15122","PA14_02060"
"ABJ15123","ABJ15123","PA14_02070"
"ABJ15124","ABJ15124","PA14_02090"
