"","X1","X2"
"AAG03391","AAG03391","PA0001"
"AAG03392","AAG03392","PA0002"
"AAG03393","AAG03393","PA0003"
"AAG03394","AAG03394","PA0004"
"AAG03395","AAG03395","PA0005"
"AAG03396","AAG03396","PA0006"
"AAG03397","AAG03397","PA0007"
"AAG03398","AAG03398","PA0008"
"AAG03399","AAG03399","PA0009"
"AAG03400","AAG03400","PA0010"
"AAG03401","AAG03401","PA0011"
"AAG03402","AAG03402","PA0012"
"AAG03403","AAG03403","PA0013"
"AAG03404","AAG03404","PA0014"
"AAG03405","AAG03405","PA0015"
"AAG03406","AAG03406","PA0016"
"AAG03407","AAG03407","PA0017"
"AAG03408","AAG03408","PA0018"
"AAG03409","AAG03409","PA0019"
"AAG03410","AAG03410","PA0020"
"AAG03411","AAG03411","PA0021"
"AAG03412","AAG03412","PA0022"
"AAG03413","AAG03413","PA0023"
"AAG03414","AAG03414","PA0024"
"AAG03415","AAG03415","PA0025"
"AAG03416","AAG03416","PA0026"
"AAG03417","AAG03417","PA0027"
"AAG03418","AAG03418","PA0028"
"AAG03419","AAG03419","PA0029"
"AAG03420","AAG03420","PA0030"
"AAG03421","AAG03421","PA0031"
"AAG03422","AAG03422","PA0032"
"AAG03423","AAG03423","PA0033"
"AAG03424","AAG03424","PA0034"
"AAG03425","AAG03425","PA0035"
"AAG03426","AAG03426","PA0036"
"AAG03427","AAG03427","PA0037"
"AAG03428","AAG03428","PA0038"
"AAG03429","AAG03429","PA0039"
"AAG03430","AAG03430","PA0040"
"AAG03431","AAG03431","PA0041"
"AAG03432","AAG03432","PA0042"
"AAG03433","AAG03433","PA0043"
"AAG03434","AAG03434","PA0044"
"AAG03435","AAG03435","PA0045"
"AAG03436","AAG03436","PA0046"
"AAG03437","AAG03437","PA0047"
"AAG03438","AAG03438","PA0048"
"AAG03439","AAG03439","PA0049"
"AAG03440","AAG03440","PA0050"
"AAG03441","AAG03441","PA0051"
"AAG03442","AAG03442","PA0052"
"AAG03443","AAG03443","PA0053"
"AAG03444","AAG03444","PA0054"
"AAG03445","AAG03445","PA0055"
"AAG03446","AAG03446","PA0056"
"AAG03447","AAG03447","PA0057"
"AAG03448","AAG03448","PA0058"
"AAG03449","AAG03449","PA0059"
"AAG03450","AAG03450","PA0060"
"AAG03451","AAG03451","PA0061"
"AAG03452","AAG03452","PA0062"
"AAG03453","AAG03453","PA0063"
"AAG03454","AAG03454","PA0064"
"AAG03455","AAG03455","PA0065"
"AAG03456","AAG03456","PA0066"
"AAG03457","AAG03457","PA0067"
"AAG03458","AAG03458","PA0068"
"AAG03459","AAG03459","PA0069"
"AAG03460","AAG03460","PA0070"
"AAG03461","AAG03461","PA0071"
"AAG03462","AAG03462","PA0072"
"AAG03463","AAG03463","PA0073"
"AAG03464","AAG03464","PA0074"
"AAG03465","AAG03465","PA0075"
"AAG03466","AAG03466","PA0076"
"AAG03467","AAG03467","PA0077"
"AAG03468","AAG03468","PA0078"
"AAG03469","AAG03469","PA0079"
"AAG03470","AAG03470","PA0080"
"AAG03471","AAG03471","PA0081"
"AAG03472","AAG03472","PA0082"
"AAG03473","AAG03473","PA0083"
"AAG03474","AAG03474","PA0084"
"AAG03475","AAG03475","PA0085"
"AAG03476","AAG03476","PA0086"
"AAG03477","AAG03477","PA0087"
"AAG03478","AAG03478","PA0088"
"AAG03479","AAG03479","PA0089"
"AAG03480","AAG03480","PA0090"
"AAG03481","AAG03481","PA0091"
"AAG03482","AAG03482","PA0092"
"AAG03483","AAG03483","PA0093"
"AAG03484","AAG03484","PA0094"
"AAG03485","AAG03485","PA0095"
"AAG03486","AAG03486","PA0096"
"AAG03487","AAG03487","PA0097"
"AAG03488","AAG03488","PA0098"
"AAG03489","AAG03489","PA0099"
