study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJNA278075	SRP056260	SAMN03383899	SRS875285	SRX957961	SRR1917597	SRA246989	408172	marine metagenome	ILLUMINA	Illumina MiSeq	GOM1	250	PAIRED	WGS	METAGENOMIC	RANDOM PCR	412739	145659401	Georgia Institute of Technology	2015-05-03	2016-06-28	Illumina MiSeq paired end sequencing; Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	PRJNA278075	GOM_stn1_2m	GOM_Stn1_2m	52485227;50723409	1fbbff3a02e0446d73997985f25372bb;b869aed4bf86335e6e72a71fd4c51e9e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/007/SRR1917597/SRR1917597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/007/SRR1917597/SRR1917597_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/007/SRR1917597/SRR1917597_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/007/SRR1917597/SRR1917597_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/007/SRR1917597/SRR1917597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/007/SRR1917597/SRR1917597_2.fastq.gz							82569614	75626f096cb39b779c0d8d1e49fd2744	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/007/SRR1917597	fasp.sra.ebi.ac.uk:/vol1/srr/SRR191/007/SRR1917597	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/007/SRR1917597				2m_Station1_GOM_Metagenome		This sample has been submitted by pda|stewartlab on 2015-05-01; marine metagenome	25	2015-05-03
PRJNA278075	SRP056260	SAMN03383900	SRS875536	SRX958229	SRR1917602	SRA246989	408172	marine metagenome	ILLUMINA	Illumina MiSeq	6m_Station1_GOM_Metagenome	250	PAIRED	WGS	METAGENOMIC	RANDOM PCR	4809436	2148995841	Georgia Institute of Technology	2015-05-03	2016-06-28	Illumina MiSeq paired end sequencing; Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	PRJNA278075	GOM_Metagenome_ 6m_Station1	GOM_Metagenome_6m_Station1	705977853;786700569	e1edd66f34b8c6fa1f006a79c85c42f2;05a4166fa5d4bede62610fdae6d203fa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/002/SRR1917602/SRR1917602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/002/SRR1917602/SRR1917602_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/002/SRR1917602/SRR1917602_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/002/SRR1917602/SRR1917602_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/002/SRR1917602/SRR1917602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/002/SRR1917602/SRR1917602_2.fastq.gz							1202381102	30355566de6e8946c02dc55b0273571f	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/002/SRR1917602	fasp.sra.ebi.ac.uk:/vol1/srr/SRR191/002/SRR1917602	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/002/SRR1917602				6m_Station1_GOM_Metagenome		This sample has been submitted by pda|stewartlab on 2015-05-01; marine metagenome	25	2015-05-03
PRJNA278075	SRP056260	SAMN03383901	SRS875545	SRX958280	SRR1917659	SRA246989	408172	marine metagenome	ILLUMINA	Illumina MiSeq	11m_Station1_GOM_Metagenome	250	PAIRED	WGS	METAGENOMIC	RANDOM PCR	1498144	702400909	Georgia Institute of Technology	2015-05-03	2016-06-28	Illumina MiSeq paired end sequencing; Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	PRJNA278075	11m_Station1_GOM_Metagenome	11m_Station1_GOM_Metagenome	236399009;284305318	0653b1f4b1a94981bbe46d9633786a6f;43c4d4e24b3e4b090e01ea97d74ba75f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/009/SRR1917659/SRR1917659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/009/SRR1917659/SRR1917659_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/009/SRR1917659/SRR1917659_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/009/SRR1917659/SRR1917659_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/009/SRR1917659/SRR1917659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/009/SRR1917659/SRR1917659_2.fastq.gz							426563305	4848d868d4332fceff1075cd1da1628b	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/009/SRR1917659	fasp.sra.ebi.ac.uk:/vol1/srr/SRR191/009/SRR1917659	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/009/SRR1917659				11m_Station1_GOM_Metagenome		This sample has been submitted by pda|stewartlab on 2015-05-01; marine metagenome	25	2015-05-03
PRJNA278075	SRP056260	SAMN03383902	SRS875594	SRX958287	SRR1917662	SRA246989	408172	marine metagenome	ILLUMINA	Illumina MiSeq	2m_Station3_GOM_Metagenome	250	PAIRED	WGS	METAGENOMIC	RANDOM PCR	2492739	1153832546	Georgia Institute of Technology	2015-05-03	2016-06-28	Illumina MiSeq paired end sequencing; Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	PRJNA278075	2m_Station3_GOM_Metagenome	2m_Station3_GOM_Metagenome	401967699;445739594	5e279797f807a8e7678b59320a523de6;40d8095d624e7970ef6a1e6b4ceb48ce	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/002/SRR1917662/SRR1917662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/002/SRR1917662/SRR1917662_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/002/SRR1917662/SRR1917662_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/002/SRR1917662/SRR1917662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/002/SRR1917662/SRR1917662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/002/SRR1917662/SRR1917662_2.fastq.gz							685898488	461f85d26cdc00745fb6388d2510374d	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/002/SRR1917662	fasp.sra.ebi.ac.uk:/vol1/srr/SRR191/002/SRR1917662	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/002/SRR1917662				2m_Station3_GOM_Metagenome		This sample has been submitted by pda|stewartlab on 2015-05-01; marine metagenome	25	2015-05-03
PRJNA278075	SRP056260	SAMN03383903	SRS875596	SRX958289	SRR1917664	SRA246989	408172	marine metagenome	ILLUMINA	Illumina MiSeq	45m_Station3_GOM_Metagenome	250	PAIRED	WGS	METAGENOMIC	RANDOM PCR	4261941	1907726946	Georgia Institute of Technology	2015-05-03	2016-06-28	Illumina MiSeq paired end sequencing; Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	PRJNA278075	45m_Station3_GOM_Metagenome	45m_Station3_GOM_Metagenome	626854050;726132538	c50db37680846bee83151f16cb7156a2;99fd58b6d54940aa2752268f5d1ee77b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/004/SRR1917664/SRR1917664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/004/SRR1917664/SRR1917664_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/004/SRR1917664/SRR1917664_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/004/SRR1917664/SRR1917664_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/004/SRR1917664/SRR1917664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/004/SRR1917664/SRR1917664_2.fastq.gz							1093940677	717538c8259a6460cbc02e581c2c75a2	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/004/SRR1917664	fasp.sra.ebi.ac.uk:/vol1/srr/SRR191/004/SRR1917664	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/004/SRR1917664				45m_Station3_GOM_Metagenome		This sample has been submitted by pda|stewartlab on 2015-05-01; marine metagenome	25	2015-05-03
PRJNA278075	SRP056260	SAMN03383904	SRS875598	SRX958291	SRR1917666	SRA246989	408172	marine metagenome	ILLUMINA	Illumina MiSeq	120m_Station3_GOM_Metagenome	250	PAIRED	WGS	METAGENOMIC	RANDOM PCR	3659537	1663951919	Georgia Institute of Technology	2015-05-03	2016-06-28	Illumina MiSeq paired end sequencing; Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	PRJNA278075	120m_Station3_GOM_Metagenome	120m_Station3_GOM_Metagenome	560624871;685671153	a468bbf568c289daf277d9a300988c9f;05a2075bd974d2f1dbf15aa613a13dff	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/006/SRR1917666/SRR1917666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/006/SRR1917666/SRR1917666_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/006/SRR1917666/SRR1917666_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/006/SRR1917666/SRR1917666_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/006/SRR1917666/SRR1917666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/006/SRR1917666/SRR1917666_2.fastq.gz							1020549293	e0d272ffc5f0eb347ff282f864c7d027	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/006/SRR1917666	fasp.sra.ebi.ac.uk:/vol1/srr/SRR191/006/SRR1917666	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/006/SRR1917666				120m_Station3_GOM_Metagenome		This sample has been submitted by pda|stewartlab on 2015-05-01; marine metagenome	25	2015-05-03
PRJNA278075	SRP056260	SAMN03383905	SRS875600	SRX958293	SRR1917672	SRA246989	408172	marine metagenome	ILLUMINA	Illumina MiSeq	2m_Station4_GOM_Metagenome	250	PAIRED	WGS	METAGENOMIC	RANDOM PCR	195784	87129476	Georgia Institute of Technology	2015-05-03	2016-06-28	Illumina MiSeq paired end sequencing; Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	PRJNA278075	2m_Station4_GOM_Metagenome	2m_Station4_GOM_Metagenome	29220139;28445574	acf8bc71e0431fe399672b8989acbb56;7c5e8d81018e3fa85d97e929c32f6a6e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/002/SRR1917672/SRR1917672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/002/SRR1917672/SRR1917672_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/002/SRR1917672/SRR1917672_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/002/SRR1917672/SRR1917672_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/002/SRR1917672/SRR1917672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/002/SRR1917672/SRR1917672_2.fastq.gz							45933251	58cf6e863d64b0b60575c218d2e0b92d	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/002/SRR1917672	fasp.sra.ebi.ac.uk:/vol1/srr/SRR191/002/SRR1917672	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/002/SRR1917672				2m_Station4_GOM_Metagenome		This sample has been submitted by pda|stewartlab on 2015-05-01; marine metagenome	25	2015-05-03
PRJNA278075	SRP056260	SAMN03383906	SRS875606	SRX958300	SRR1917673	SRA246989	408172	marine metagenome	ILLUMINA	Illumina MiSeq	10m_Station4_GOM_Metagenome	250	PAIRED	WGS	METAGENOMIC	RANDOM PCR	2307650	1111719298	Georgia Institute of Technology	2015-05-03	2016-06-28	Illumina MiSeq paired end sequencing; Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	PRJNA278075	10m_Station4_GOM_Metagenome	10m_Station4_GOM_Metagenome	408216183;411255026	3cd6d28b03fe7fc975ecdf8edb397ea9;bfc07edcd5b56dac9bec052e75b49c7c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/003/SRR1917673/SRR1917673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/003/SRR1917673/SRR1917673_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/003/SRR1917673/SRR1917673_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/003/SRR1917673/SRR1917673_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/003/SRR1917673/SRR1917673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/003/SRR1917673/SRR1917673_2.fastq.gz							664887116	9d352a0d4634585c85b8c21e72fadc0c	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/003/SRR1917673	fasp.sra.ebi.ac.uk:/vol1/srr/SRR191/003/SRR1917673	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/003/SRR1917673				10m_Station4_GOM_Metagenome		This sample has been submitted by pda|stewartlab on 2015-05-01; marine metagenome	25	2015-05-03
PRJNA278075	SRP056260	SAMN03383907	SRS875651	SRX958345	SRR1917747	SRA246989	408172	marine metagenome	ILLUMINA	Illumina MiSeq	2m_Station5_GOM_Metagenome	250	PAIRED	WGS	METAGENOMIC	RANDOM PCR	579978	285378141	Georgia Institute of Technology	2015-05-03	2016-06-28	Illumina MiSeq paired end sequencing; Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	PRJNA278075	2m_Station5_GOM_Metagenome	2m_Station5_GOM_Metagenome	96492803;105457741	b89b9af0d55693c702a8388d67b416fe;c78607e0d153ca5e7456e40ee905425f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/007/SRR1917747/SRR1917747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/007/SRR1917747/SRR1917747_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/007/SRR1917747/SRR1917747_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/007/SRR1917747/SRR1917747_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/007/SRR1917747/SRR1917747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/007/SRR1917747/SRR1917747_2.fastq.gz							163621957	9cf5c2a07399e94ac7ed3414906e60da	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/007/SRR1917747	fasp.sra.ebi.ac.uk:/vol1/srr/SRR191/007/SRR1917747	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/007/SRR1917747				2m_Station5_GOM_Metagenome		This sample has been submitted by pda|stewartlab on 2015-05-01; marine metagenome	25	2015-05-03
PRJNA278075	SRP056260	SAMN03383908	SRS875653	SRX958347	SRR1917943	SRA246989	408172	marine metagenome	ILLUMINA	Illumina MiSeq	5m_Station5_GOM_Metagenome	250	PAIRED	WGS	METAGENOMIC	RANDOM PCR	1741729	839847406	Georgia Institute of Technology	2015-05-03	2016-06-28	Illumina MiSeq paired end sequencing; Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	Biogeochemical and metagenomic analysis of nitrite accumulation in the Gulf of Mexico hypoxic zone	PRJNA278075	5m_Station5_GOM_Metagenome	5m_Station5_GOM_Metagenome	297449383;321551640	ce53d12e80029ab5c3dfa268f2f7ecb7;c0e4382b7c748a1b95a1358a54212ac6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/003/SRR1917943/SRR1917943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/003/SRR1917943/SRR1917943_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/003/SRR1917943/SRR1917943_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR191/003/SRR1917943/SRR1917943_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/003/SRR1917943/SRR1917943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/003/SRR1917943/SRR1917943_2.fastq.gz							505367195	530e20d33ed7acac9714268b583346cd	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/003/SRR1917943	fasp.sra.ebi.ac.uk:/vol1/srr/SRR191/003/SRR1917943	ftp.sra.ebi.ac.uk/vol1/srr/SRR191/003/SRR1917943				5m_Station5_GOM_Metagenome		This sample has been submitted by pda|stewartlab on 2015-05-01; marine metagenome	25	2015-05-03
